DOMAIN,AGENCY,REG,CALLSIGN,TYPE,MODEL,HEX,COT,ICON,Domain,Agency,Type,Model
CIV,VIRGIN GALACTIC,N348MS,WHITE KNITE 02,FIXED WING,,A3DC2A,a-f-A-C-F,,,,,
CIV,VIRGIN GALACTIC,N339SS,VSS ENTERPRISE,SPACECRAFT,,A3B8DF,a-f-A-C-H,,,,,
CIV,VIRGIN GALACTIC,N202VG,VSS UNITY,SPACECRAFT,,A19B53,a-f-A-C-H,,,,,
CIV,MD HELI,N7032V,N7032V-MD HELI,HELICOPTER,MD-500E,A96265,a-f-A-C-H,,,,,
CIV,DILLON,N407DA,N407DA-DILLON,HELICOPTER,BELL 407,A4C6EE,a-n-A-M-H-A,,,,,
CIV,DILLON,N719GB,N719GB-DILLON,HELICOPTER,BELL 412EP,A99E14,a-n-A-M-H-A,,,,,
CIV,DILLON,N205DP,N205DP-DILLON,HELICOPTER,BELL UH-1,A1A4EF,a-n-A-M-H-U-M,,,,,
CIV,DILLON,N480FT,N480FT-DILLON,HELICOPTER,OH-58,A5E928,a-n-A-M-H-A,,,,,
CIV,DILLON,N90DA,N90DA-DILLON,HELICOPTER,BELL 407,AC6D1F,a-n-A-M-H-A,,,,,
med,PHI,N393P,PHI MED-41,,,A48F33,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N562NA,SKYLIFE A1,FIXED WING,PC12,A72F85,a-f-A-C-F,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_FIXED_WING.png,,,,
EMS,AIR METHODS,N101HF,SKYLIFE H3,HELICOPTER,B407,A00920,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N113AM,MERCY XX,HELICOPTER,B407,A03764,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N127AM,MERCY03,HELICOPTER,AW09,A06DBF,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N135CM,MERCY27,HELICOPTER,EC35,A08E02,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N145SJ,MERCY04,HELICOPTER,BK17,A0B6DC,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N150AM,H285-BFA,HELICOPTER,B407,A0CA3B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N160AM,MERCY22,HELICOPTER,B407,A0F1BA,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N184AM,MERCY32,HELICOPTER,B407,A14F94,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N219MG,MERCY20,HELICOPTER,B412,A1DC0B,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N224AM,MERCY18,HELICOPTER,B407,A1EFE9,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,AIR METHODS,N230AM,MERCY06,HELICOPTER,EC35,A2088C,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,REACH AIR MEDICAL,N321RX,REACH27,HELICOPTER,,A37394,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,REACH AIR MEDICAL,N30RX,REACH SV1,HELICOPTER,,A31E86,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,REACH AIR MEDICAL,N31RX,REACH3,HELICOPTER,,A34605,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,REACH AIR MEDICAL,N313RX,REACH16,HELICOPTER,,A35383,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,REACH AIR MEDICAL,N314RX,REACH18,HELICOPTER,,A3573A,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
EMS,REACH AIR MEDICAL,N316RX,REACH17,HELICOPTER,,A35EA8,a-f-A-C-H,66f14976-4b62-4023-8edb-d8d2ebeaa336/Public Safety Air/EMS_ROTOR.png,,,,
